"","iop","","","","","","","","","","",""
"","escol:iop","escol:Bootstrap SD","escol:N","inglab:iop","inglab:Bootstrap SD","inglab:N","inglab2:iop","inglab2:Bootstrap SD","inglab2:N","ing_hr:iop","ing_hr:Bootstrap SD","ing_hr:N"
"_","","","","","","","","","","","",""
"iop_a","0.043","0.001","8790.000","0.255","0.010","8162.000","0.078","0.014","5081.000","0.277","0.012","8021.000"
"coh 1","","","","","","","","","","","",""
"iop_a","0.030","0.001","4179.000","0.265","0.012","3930.000","0.097","0.014","2450.000","0.198","0.013","3863.000"
"coh 2","","","","","","","","","","","",""
"iop_a","0.032","0.001","1865.000","0.257","0.021","1729.000","0.082","0.012","1224.000","0.428","0.028","1700.000"
"coh 3","","","","","","","","","","","",""
"iop_a","0.069","0.001","1433.000","0.451","0.044","1294.000","0.169","0.013","851.000","0.429","0.046","1270.000"
"coh 4","","","","","","","","","","","",""
"iop_a","0.132","0.001","1313.000","0.354","0.070","1209.000","0.086","0.012","556.000","0.392","0.075","1188.000"
"sex 0","","","","","","","","","","","",""
"iop_a","0.049","0.001","3926.000","0.186","0.018","3705.000","0.082","0.013","1551.000","0.488","0.018","3673.000"
"coh 1 sex 0","","","","","","","","","","","",""
"iop_a","0.040","0.001","1636.000","0.350","0.056","1555.000","0.165","0.014","638.000","0.267","0.035","1545.000"
"coh 2 sex 0","","","","","","","","","","","",""
"iop_a","0.038","0.001","923.000","0.237","0.039","872.000","0.090","0.014","425.000","0.568","0.071","865.000"
"coh 3 sex 0","","","","","","","","","","","",""
"iop_a","0.108","0.001","752.000","0.222","0.040","695.000","0.085","0.014","321.000","0.205","0.061","686.000"
"coh 4 sex 0","","","","","","","","","","","",""
"iop_a","0.132","0.001","615.000","0.850","0.088","573.000","0.250","0.014","167.000","0.481","0.107","567.000"
"sex 1","","","","","","","","","","","",""
"iop_a","0.037","0.001","4864.000","0.072","0.007","4457.000","0.064","0.013","3530.000","0.074","0.009","4348.000"
"coh 1 sex 1","","","","","","","","","","","",""
"iop_a","0.025","0.001","2543.000","0.139","0.011","2375.000","0.132","0.014","1812.000","0.141","0.013","2318.000"
"coh 2 sex 1","","","","","","","","","","","",""
"iop_a","0.033","0.001","942.000","0.130","0.025","857.000","0.110","0.012","799.000","0.140","0.023","835.000"
"coh 3 sex 1","","","","","","","","","","","",""
"iop_a","0.056","0.001","681.000","0.156","0.035","577.000","0.146","0.015","530.000","0.154","0.043","562.000"
"coh 4 sex 1","","","","","","","","","","","",""
"iop_a","0.108","0.001","698.000","0.117","0.083","625.000","0.078","0.012","389.000","0.235","0.101","610.000"
