"","iop","","","","","","","","","","",""
"","escol:iop","escol:Bootstrap SD","escol:N","inglab:iop","inglab:Bootstrap SD","inglab:N","inglab2:iop","inglab2:Bootstrap SD","inglab2:N","ing_hr:iop","ing_hr:Bootstrap SD","ing_hr:N"
"_","","","","","","","","","","","",""
"iop_r2","0.360","0.008","8790.000","0.196","0.012","8162.000","0.138","0.010","5081.000","0.134","0.006","8021.000"
"coh 1","","","","","","","","","","","",""
"iop_r2","0.402","0.008","4179.000","0.176","0.013","3930.000","0.145","0.011","2450.000","0.136","0.006","3863.000"
"coh 2","","","","","","","","","","","",""
"iop_r2","0.346","0.007","1865.000","0.269","0.046","1729.000","0.191","0.011","1224.000","0.303","0.021","1700.000"
"coh 3","","","","","","","","","","","",""
"iop_r2","0.412","0.008","1433.000","0.325","0.031","1294.000","0.272","0.010","851.000","0.296","0.022","1270.000"
"coh 4","","","","","","","","","","","",""
"iop_r2","0.437","0.008","1313.000","0.263","0.040","1209.000","0.310","0.012","556.000","0.117","0.022","1188.000"
"sex 0","","","","","","","","","","","",""
"iop_r2","0.374","0.008","3926.000","0.175","0.014","3705.000","0.271","0.009","1551.000","0.198","0.008","3673.000"
"coh 1 sex 0","","","","","","","","","","","",""
"iop_r2","0.486","0.008","1636.000","0.411","0.030","1555.000","0.637","0.011","638.000","0.199","0.019","1545.000"
"coh 2 sex 0","","","","","","","","","","","",""
"iop_r2","0.424","0.008","923.000","0.206","0.043","872.000","0.222","0.011","425.000","0.582","0.025","865.000"
"coh 3 sex 0","","","","","","","","","","","",""
"iop_r2","0.466","0.009","752.000","0.136","0.080","695.000","0.347","0.012","321.000","0.092","0.037","686.000"
"coh 4 sex 0","","","","","","","","","","","",""
"iop_r2","0.414","0.008","615.000","0.530","0.061","573.000","0.730","0.011","167.000","0.338","0.120","567.000"
"sex 1","","","","","","","","","","","",""
"iop_r2","0.351","0.008","4864.000","0.101","0.009","4457.000","0.119","0.011","3530.000","0.078","0.005","4348.000"
"coh 1 sex 1","","","","","","","","","","","",""
"iop_r2","0.365","0.008","2543.000","0.120","0.010","2375.000","0.135","0.011","1812.000","0.124","0.008","2318.000"
"coh 2 sex 1","","","","","","","","","","","",""
"iop_r2","0.347","0.008","942.000","0.233","0.038","857.000","0.240","0.009","799.000","0.138","0.034","835.000"
"coh 3 sex 1","","","","","","","","","","","",""
"iop_r2","0.424","0.009","681.000","0.313","0.039","577.000","0.317","0.013","530.000","0.294","0.025","562.000"
"coh 4 sex 1","","","","","","","","","","","",""
"iop_r2","0.488","0.008","698.000","0.251","0.063","625.000","0.300","0.011","389.000","0.111","0.035","610.000"
