"","ocup","","",""
"","c1","escol:mean","ent_trab:mean","inglab:mean"
"clas_ocup_pad","","","",""
"No trabajaba","9.28","7.98","0.67","4619.27"
"Agrícolas","31.95","7.00","0.63","4027.16"
"Manual baja calif","10.69","9.65","0.68","4843.47"
"Manual alta calif","30.44","9.73","0.69","5023.88"
"Comercio","9.95","11.47","0.75","6615.92"
"No manual baja calif","4.24","13.28","0.78","7286.93"
"No manual alta calif","3.45","14.43","0.78","9289.37"
"Total","100.00","9.17","0.68","5113.07"
"clas_ocup_mad","","","",""
"No trabajaba","85.70","8.92","0.68","5038.22"
"Agrícolas","1.57","6.81","0.68","4612.50"
"Manual baja calif","5.47","10.16","0.67","5521.45"
"Manual alta calif","1.76","9.59","0.61","4508.15"
"Comercio","3.10","11.99","0.80","5036.63"
"No manual baja calif","1.51","13.64","0.72","7806.90"
"No manual alta calif","0.89","14.83","0.64","5519.36"
"Total","100.00","9.18","0.68","5086.77"
"trab_pad","","","",""
"0","9.28","7.98","0.67","4619.27"
"1","90.72","9.30","0.68","5161.08"
"Total","100.00","9.17","0.68","5113.07"
"trab_mad","","","",""
"0","83.59","8.92","0.68","5037.26"
"1","16.41","10.48","0.70","5502.67"
"Total","100.00","9.17","0.68","5113.07"
"N","","","",""
"r1","8784.00","8784.00","8784.00","6003.00"
