
--------------------------------------------------------------------------
Variables   G1(0)            Mean1     G2(1)          Mean2      MeanDiff
--------------------------------------------------------------------------
escol         2182            8.428       8790         8.679     -0.251**
inglab        1981         2564.283       8162      2716.134   -151.851
sexo          2211            0.519       8790         0.553     -0.035***
indig         2211            0.137       8790         0.173     -0.036***
disc          2203            0.015       8790         0.013      0.002
trab_mad      1422            0.409       8790         0.160      0.249***
nherm_0       2077            0.298       8790         0.137      0.161***
nherm_1       2077            0.446       8790         0.484     -0.038***
nherm_2       2077            0.256       8790         0.380     -0.123***
nive~mad_1    2211            0.472       8790         0.564     -0.092***
nive~mad_2    2211            0.173       8790         0.233     -0.060***
nive~mad_3    2211            0.138       8790         0.152     -0.014
nive~mad_4    2211            0.013       8790         0.013     -0.001
nive~mad_5    2211            0.204       8790         0.039      0.166***
nive~pad_1    2211            0.404       8790         0.544     -0.139***
nive~pad_2    2211            0.126       8790         0.226     -0.100***
nive~pad_3    2211            0.102       8790         0.155     -0.053***
nive~pad_4    2211            0.013       8790         0.027     -0.015***
nive~pad_5    2211            0.355       8790         0.048      0.307***
clas_ocu~0    359             0.178       8790         0.100      0.078***
clas_ocu~1    359             0.315       8790         0.342     -0.027
clas_ocu~2    359             0.092       8790         0.101     -0.009
clas_ocu~3    359             0.267       8790         0.304     -0.037
clas_ocu~4    359             0.100       8790         0.094      0.007
clas_ocu~5    359             0.033       8790         0.031      0.003
clas_ocu~6    359             0.014       8790         0.028     -0.014
lugar14_1     2065            0.335       8790         0.404     -0.069***
lugar14_2     2065            0.399       8790         0.389      0.010
lugar14_3     2065            0.267       8790         0.208      0.059***
riq_mca_1     2205            0.151       8790         0.175     -0.024***
riq_mca_2     2205            0.201       8790         0.225     -0.024**
riq_mca_3     2205            0.215       8790         0.200      0.015
riq_mca_4     2205            0.236       8790         0.199      0.037***
riq_mca_5     2205            0.197       8790         0.201     -0.004
--------------------------------------------------------------------------
